Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222684,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5396.21586434732,5332.16047456847
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,0.087569996714592,0.154119998216629,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.45869994163513,3.11779999732971,3.13823008537292,3.22751998901367,3.28154993057251,3.1914598941803,3.27592992782593,..,..,3.41307497024536,3.07999992370605,2.9300000667572,3.53929996490479,3.04999995231628,3.43796992301941,3.96209001541138,3.61173009872437,3.15490126609802,3.91665005683899,3.09999990463257
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.05549588209555,1.23237878291558,1.3389849808862,1.40405868767094,1.33820939947885,1.33999573904164,1.3939313702533,1.38431124871868,1.44149356167856,1.52762366260495,1.66942319005525,1.50324046003101,1.53363003912154,1.66833737091547,1.60377514987108,1.55766435847472,1.78878607422544,1.78273894754715,1.69224831964856,..
Albania,ALB,Arable land (% of land area),AG.LND.ARBL.ZS,21.0948905109489,21.0948905109489,21.0948905109489,21.0948905109489,19.6350364963504,21.3138686131387,21.0948905109489,22.2627737226277,22.2262773722628,22.8467153284672,22.7007299270073,22.5948905109489,22.521897810219,22.4671532846715,22.4489051094891,22.6386861313869,22.3357664233577,22.311897810219,22.2627737226277,21.8832116788321
Albania,ALB,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,4.5,4.6,4.8,4.8,7.5,7.8,8.1,8.2,8.1,7.8,7.9,5.2,5.3,5,4.8,4.7,4.7,4.5,4.3,..
Albania,ALB,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,70.5999984741211,..,..,65.0199966430664,..,79.1900024414063,78.9000015258789,81.3000030517578,77.9700012207031,74.5199966430664,73.0599975585938,73.4300003051758,74.379997253418,73.2699966430664,74.129997253418,73.2200012207031,62.1199989318848,62.7000007629395,..
Albania,ALB,"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,..,41.7999992370605,..,..,35.189998626709,..,33.7700004577637,28.1700000762939,30.7299995422363,29.7199993133545,30.0100002288818,27.6499996185303,30.9799995422363,31.3899993896484,29.8199996948242,27.3899993896484,26.2299995422363,26.6100006103516,25.8199996948242,..
Albania,ALB,Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,..,..,..,..,20.1,18.5,17.8,16.8,8.1,8.5,8.8,8.7,9.4,9.5,14.1,14.1,14,14,14.1,..
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,16.4842422693753,17.1961377405428,17.9650758619194,..,..,..,..,..,..,18.0220132797796,17.4832335567459,16.5032706123389,18.3019361358269,18.5157898553099,17.590229809729,18.8874919791442,18.5459516560754,18.1443771903866,17.017906947217
